epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
64,816.542,1.03915,0.62117,0.98636,0.91499,0.84753,0.9324,0.45767,1.74791,0.76215,1.24451,0.005842,0.005842,0.005842
65,828.97,1.05911,0.63739,0.99482,0.95195,0.90187,0.96479,0.57892,1.37684,0.59674,1.1151,0.005776,0.005776,0.005776
66,841.238,1.08991,0.6483,1.00511,0.95176,0.90247,0.96384,0.58869,1.34658,0.60261,1.11124,0.00571,0.00571,0.00571
67,853.55,1.04115,0.61652,0.98474,0.9385,0.87995,0.94558,0.42218,1.92894,0.73496,1.32143,0.005644,0.005644,0.005644
68,866.124,1.05075,0.61676,0.98534,0.93431,0.91548,0.95914,0.51012,1.5991,0.66812,1.19504,0.005578,0.005578,0.005578
69,878.452,1.03245,0.61814,0.98382,0.96008,0.90881,0.9681,0.53971,1.51542,0.6324,1.16377,0.005512,0.005512,0.005512
70,890.869,1.05755,0.61956,0.9887,0.95222,0.88696,0.95444,0.48532,1.70342,0.66674,1.24352,0.005446,0.005446,0.005446
71,903.283,1.02614,0.61191,0.98307,0.93623,0.89329,0.95188,0.49966,1.63251,0.6842,1.20418,0.00538,0.00538,0.00538
72,915.66,1.02875,0.60844,0.98732,0.95392,0.93313,0.97451,0.66076,1.12648,0.53425,1.04238,0.005314,0.005314,0.005314
73,928.208,1.01833,0.59594,0.97593,0.96532,0.89707,0.96482,0.56457,1.41936,0.6166,1.12211,0.005248,0.005248,0.005248
74,940.518,1.02877,0.60472,0.98313,0.94332,0.91476,0.96032,0.54938,1.48568,0.61326,1.14365,0.005182,0.005182,0.005182
75,953.153,0.98576,0.59295,0.97036,0.95298,0.88973,0.94774,0.46413,1.7701,0.68311,1.25912,0.005116,0.005116,0.005116
76,965.485,1.0074,0.59447,0.97796,0.96189,0.90818,0.97235,0.63846,1.21935,0.57222,1.06441,0.00505,0.00505,0.00505
77,977.832,1.00799,0.60118,0.98162,0.95649,0.9138,0.96808,0.5631,1.45176,0.60027,1.14101,0.004984,0.004984,0.004984
78,990.343,0.99811,0.59435,0.97911,0.94843,0.92221,0.97265,0.67909,1.07505,0.52212,1.02488,0.004918,0.004918,0.004918
79,1002.9,1.01908,0.5936,0.98515,0.96079,0.92126,0.97068,0.57631,1.41506,0.58124,1.12733,0.004852,0.004852,0.004852
80,1015.38,1.00346,0.58308,0.98128,0.94457,0.90122,0.95725,0.60512,1.26746,0.60026,1.08006,0.004786,0.004786,0.004786
81,1027.75,1.00461,0.58937,0.97714,0.95731,0.91949,0.96994,0.6769,1.07931,0.55131,1.0236,0.00472,0.00472,0.00472
82,1040.09,1.00619,0.58382,0.97797,0.95118,0.90103,0.95509,0.4705,1.78642,0.65326,1.26616,0.004654,0.004654,0.004654
83,1052.46,1.00924,0.59024,0.97291,0.94644,0.90592,0.96347,0.58,1.40384,0.5996,1.11552,0.004588,0.004588,0.004588
84,1064.66,0.98419,0.57283,0.97015,0.96298,0.90015,0.95547,0.48949,1.70108,0.64339,1.21831,0.004522,0.004522,0.004522
85,1076.63,0.98555,0.57703,0.97018,0.94086,0.87952,0.94874,0.41309,1.98276,0.7113,1.34238,0.004456,0.004456,0.004456
86,1089.15,0.97237,0.55925,0.96447,0.97464,0.91292,0.97208,0.60217,1.31893,0.56084,1.08244,0.00439,0.00439,0.00439
87,1101.52,0.9754,0.57077,0.96275,0.96289,0.90832,0.96982,0.61832,1.2712,0.54898,1.07348,0.004324,0.004324,0.004324
88,1114.15,0.97848,0.56633,0.9755,0.94429,0.88755,0.94243,0.46175,1.75366,0.65945,1.23597,0.004258,0.004258,0.004258
89,1126.48,0.9642,0.55226,0.95922,0.95664,0.90197,0.96586,0.51995,1.6163,0.61975,1.19354,0.004192,0.004192,0.004192
90,1138.7,0.96242,0.56573,0.96966,0.97266,0.90779,0.97236,0.57847,1.38571,0.56629,1.10892,0.004126,0.004126,0.004126
91,1151.12,0.96505,0.55523,0.96638,0.96712,0.89673,0.95906,0.44537,1.85986,0.66402,1.29064,0.00406,0.00406,0.00406
92,1163.74,0.97493,0.57221,0.97325,0.97256,0.91433,0.97111,0.51302,1.62361,0.60225,1.19292,0.003994,0.003994,0.003994
93,1176.33,0.96022,0.55217,0.95708,0.96386,0.92461,0.97186,0.54614,1.5142,0.58134,1.15067,0.003928,0.003928,0.003928
94,1188.72,0.95029,0.54643,0.959,0.96829,0.91796,0.9684,0.50767,1.69188,0.63558,1.219,0.003862,0.003862,0.003862
95,1201.37,0.93912,0.54286,0.95878,0.95934,0.92126,0.97082,0.52992,1.61527,0.60143,1.19063,0.003796,0.003796,0.003796
96,1215.56,0.94709,0.5417,0.95837,0.97776,0.91671,0.97584,0.60712,1.35064,0.54084,1.09084,0.00373,0.00373,0.00373
97,1232.86,0.92158,0.53531,0.95696,0.97375,0.92433,0.97464,0.55023,1.53871,0.57535,1.15712,0.003664,0.003664,0.003664
98,1250.14,0.91632,0.53647,0.95106,0.97374,0.92835,0.97458,0.59125,1.40204,0.5501,1.10759,0.003598,0.003598,0.003598
99,1262.72,0.92723,0.53223,0.95202,0.96185,0.91956,0.97475,0.59924,1.33566,0.55016,1.09645,0.003532,0.003532,0.003532
100,1275.32,0.94801,0.53899,0.956,0.93363,0.9023,0.94974,0.42633,1.96603,0.68726,1.32987,0.003466,0.003466,0.003466
101,1287.64,0.9325,0.53394,0.9607,0.97263,0.91615,0.97625,0.58949,1.40749,0.55414,1.10836,0.0034,0.0034,0.0034
102,1300.08,0.92587,0.52582,0.95167,0.96445,0.92298,0.97455,0.55708,1.51558,0.57755,1.16075,0.003334,0.003334,0.003334
103,1312.72,0.91931,0.52703,0.94912,0.95194,0.91788,0.9702,0.53355,1.59511,0.59982,1.18795,0.003268,0.003268,0.003268
104,1325.26,0.90603,0.52,0.95127,0.95126,0.92336,0.97069,0.50034,1.70103,0.6167,1.22749,0.003202,0.003202,0.003202
105,1337.68,0.93767,0.53958,0.9579,0.97186,0.90075,0.96227,0.45715,1.85501,0.65431,1.28253,0.003136,0.003136,0.003136
106,1349.37,0.93821,0.5348,0.9575,0.97167,0.92817,0.97702,0.59661,1.3421,0.54283,1.09656,0.00307,0.00307,0.00307
107,1361.26,0.93078,0.53153,0.95902,0.96851,0.92548,0.97262,0.59391,1.37317,0.53794,1.10244,0.003004,0.003004,0.003004
108,1373.91,0.92133,0.52535,0.95062,0.95763,0.92281,0.9673,0.50853,1.6725,0.60838,1.21133,0.002938,0.002938,0.002938
109,1386.32,0.90877,0.51173,0.94453,0.95835,0.91292,0.96406,0.48956,1.7529,0.61535,1.24055,0.002872,0.002872,0.002872
110,1398.8,0.90189,0.51823,0.94385,0.95382,0.93596,0.97177,0.50378,1.71955,0.61424,1.2251,0.002806,0.002806,0.002806
111,1411.34,0.90847,0.51653,0.94686,0.96136,0.92724,0.96901,0.51687,1.68368,0.60888,1.21666,0.00274,0.00274,0.00274
112,1423.63,0.90007,0.50767,0.94473,0.97177,0.93244,0.97612,0.55539,1.53206,0.56163,1.15933,0.002674,0.002674,0.002674
113,1435.94,0.89364,0.5101,0.94704,0.97642,0.92201,0.9724,0.51013,1.65915,0.59646,1.20393,0.002608,0.002608,0.002608
114,1448.41,0.90297,0.51552,0.94603,0.98026,0.91662,0.97495,0.5648,1.50118,0.56518,1.13941,0.002542,0.002542,0.002542
115,1460.75,0.90962,0.51242,0.94795,0.97197,0.93442,0.97279,0.53464,1.60794,0.5823,1.18192,0.002476,0.002476,0.002476
116,1473.15,0.90277,0.50881,0.9493,0.96205,0.93424,0.97516,0.57187,1.47898,0.5627,1.1412,0.00241,0.00241,0.00241
117,1485.58,0.89564,0.51042,0.93842,0.97472,0.92793,0.9753,0.54117,1.57564,0.57899,1.16946,0.002344,0.002344,0.002344
118,1498.03,0.87023,0.50466,0.94124,0.96563,0.91742,0.96846,0.4882,1.76779,0.63152,1.24539,0.002278,0.002278,0.002278
119,1510.56,0.88743,0.50269,0.94369,0.96685,0.93494,0.97301,0.57128,1.4775,0.56194,1.14435,0.002212,0.002212,0.002212
120,1522.87,0.89949,0.50797,0.94564,0.96206,0.93794,0.97175,0.54268,1.57638,0.56825,1.17818,0.002146,0.002146,0.002146
121,1535.44,0.87742,0.49397,0.93924,0.97573,0.93556,0.97813,0.57836,1.45001,0.54483,1.13248,0.00208,0.00208,0.00208
122,1547.92,0.86635,0.49101,0.933,0.97901,0.92608,0.97832,0.56351,1.49985,0.5593,1.15032,0.002014,0.002014,0.002014
123,1560.4,0.85768,0.49058,0.93411,0.95504,0.89669,0.95659,0.45149,1.87249,0.67098,1.29169,0.001948,0.001948,0.001948
124,1572.96,0.87387,0.49155,0.93915,0.97544,0.92757,0.97394,0.5391,1.58858,0.57617,1.18257,0.001882,0.001882,0.001882
125,1585.43,0.86441,0.48777,0.93555,0.95474,0.93195,0.96681,0.47329,1.82439,0.63557,1.27049,0.001816,0.001816,0.001816
126,1597.93,0.87668,0.49251,0.93942,0.98481,0.92187,0.97907,0.60699,1.34952,0.52635,1.09388,0.00175,0.00175,0.00175
127,1610.44,0.85642,0.48508,0.93471,0.96965,0.91502,0.97277,0.49684,1.76688,0.62144,1.24977,0.001684,0.001684,0.001684
128,1622.9,0.86571,0.48431,0.93467,0.96545,0.93368,0.97646,0.5995,1.40315,0.54335,1.11184,0.001618,0.001618,0.001618
129,1635.37,0.85827,0.48317,0.93019,0.97203,0.9318,0.97301,0.50258,1.71992,0.60988,1.23048,0.001552,0.001552,0.001552
130,1647.82,0.85475,0.48863,0.93528,0.96799,0.92725,0.97108,0.53419,1.60006,0.58156,1.18042,0.001486,0.001486,0.001486
131,1662.51,0.85471,0.43866,0.94505,0.9747,0.92886,0.98067,0.70667,1.04056,0.47066,1.00859,0.00142,0.00142,0.00142
