epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
58,3254.24,1.50938,0.72201,1.0716,0.97678,0.98637,0.98879,0.58357,1.28656,0.6148,0.95169,0.0088714,0.0088714,0.0088714
59,3309.57,1.49986,0.71504,1.06907,0.97936,0.98423,0.98949,0.58925,1.27783,0.75783,0.94994,0.0088516,0.0088516,0.0088516
60,3364.4,1.50082,0.71425,1.06806,0.9798,0.98439,0.98854,0.58743,1.27347,0.90953,0.94822,0.0088318,0.0088318,0.0088318
61,3419.12,1.50722,0.71378,1.07299,0.9794,0.98322,0.98771,0.58799,1.28056,0.61172,0.9491,0.008812,0.008812,0.008812
62,3473.7,1.4882,0.69428,1.06128,0.98312,0.98244,0.98669,0.58485,1.28141,1.00763,0.94975,0.0087922,0.0087922,0.0087922
63,3528.6,1.48019,0.69629,1.0661,0.98118,0.98748,0.98659,0.59061,1.26989,0.63481,0.94491,0.0087724,0.0087724,0.0087724
64,3583.53,1.48614,0.68894,1.06074,0.97743,0.98734,0.9882,0.59738,1.25958,0.66472,0.94097,0.0087526,0.0087526,0.0087526
65,3638.19,1.47365,0.68249,1.06095,0.97561,0.98903,0.98869,0.59329,1.26817,0.55819,0.94513,0.0087328,0.0087328,0.0087328
66,3693.2,1.46754,0.68829,1.05965,0.97491,0.98928,0.98896,0.5951,1.27214,0.63282,0.94665,0.008713,0.008713,0.008713
67,3748.04,1.46839,0.68721,1.05946,0.97672,0.98815,0.98939,0.59807,1.25946,0.60126,0.94235,0.0086932,0.0086932,0.0086932
68,3802.74,1.45913,0.6843,1.05588,0.97976,0.9864,0.98936,0.59488,1.26774,0.64906,0.94441,0.0086734,0.0086734,0.0086734
69,3857.84,1.47558,0.69499,1.06002,0.97759,0.98942,0.98958,0.5968,1.26079,0.67838,0.94388,0.0086536,0.0086536,0.0086536
70,3912.36,1.47019,0.6897,1.05616,0.97886,0.98885,0.98837,0.59352,1.25581,0.65972,0.94267,0.0086338,0.0086338,0.0086338
71,3967.4,1.46872,0.69475,1.06231,0.98108,0.98734,0.99006,0.59987,1.25658,0.69571,0.94251,0.008614,0.008614,0.008614
72,4022.19,1.46218,0.68692,1.05449,0.97933,0.99004,0.99043,0.60072,1.25363,0.56474,0.94173,0.0085942,0.0085942,0.0085942
73,4077.5,1.45989,0.69,1.0573,0.9811,0.98816,0.98872,0.59795,1.2539,0.52422,0.9415,0.0085744,0.0085744,0.0085744
74,4132.03,1.45176,0.67747,1.04921,0.98148,0.98591,0.98943,0.60395,1.25421,0.62754,0.94009,0.0085546,0.0085546,0.0085546
75,4186.69,1.45764,0.6857,1.05527,0.97909,0.99119,0.98884,0.6002,1.24666,0.54913,0.9386,0.0085348,0.0085348,0.0085348
76,4241.6,1.45136,0.67327,1.05195,0.98025,0.98702,0.98853,0.60301,1.24529,0.53954,0.93791,0.008515,0.008515,0.008515
77,4296.21,1.44573,0.67812,1.05255,0.97722,0.99073,0.98933,0.60513,1.23741,0.55841,0.93564,0.0084952,0.0084952,0.0084952
78,4351.54,1.45229,0.67344,1.05047,0.98029,0.9914,0.98872,0.60532,1.23231,0.54098,0.93523,0.0084754,0.0084754,0.0084754
79,4406.23,1.43889,0.66314,1.05297,0.98057,0.9909,0.98881,0.60718,1.22894,0.5311,0.93404,0.0084556,0.0084556,0.0084556
80,4460.86,1.42253,0.66421,1.044,0.97888,0.99245,0.98835,0.608,1.22757,0.54223,0.93331,0.0084358,0.0084358,0.0084358
81,4515.92,1.43605,0.67403,1.04679,0.97907,0.99049,0.98799,0.60793,1.22529,0.55694,0.93238,0.008416,0.008416,0.008416
82,4570.52,1.4358,0.66647,1.04959,0.97843,0.99077,0.98757,0.60848,1.22425,0.55463,0.93244,0.0083962,0.0083962,0.0083962
